,title,domestic_gross,foreign_gross,year
722,Blood Ties,2800.0,Blood Ties,2011
723,Knuckle,2600.0,Knuckle,2011
724,Main Street,2600.0,Main Street,2011
725,"Love, Wedding, Marriage",1900.0,"Love, Wedding, Marriage",2011
726,An Invisible Sign,1300.0,An Invisible Sign,2011
727,Marvel's The Avengers,623400000.0,Marvel's The Avengers,2012
728,Skyfall,304400000.0,Skyfall,2012
729,The Dark Knight Rises,448100000.0,The Dark Knight Rises,2012
730,The Hobbit: An Unexpected Journey,303000000.0,The Hobbit: An Unexpected Journey,2012
731,Ice Age: Continental Drift,161300000.0,Ice Age: Continental Drift,2012
732,The Twilight Saga: Breaking Dawn Part 2,292300000.0,The Twilight Saga: Breaking Dawn Part 2,2012
733,The Amazing Spider-Man,262000000.0,The Amazing Spider-Man,2012
734,Madagascar 3: Europe's Most Wanted,216400000.0,Madagascar 3: Europe's Most Wanted,2012
735,The Hunger Games,408000000.0,The Hunger Games,2012
736,MIB 3,179000000.0,MIB 3,2012
737,Life of Pi,125000000.0,Life of Pi,2012
738,Ted,218800000.0,Ted,2012
739,Brave,237300000.0,Brave,2012
740,Wreck-It Ralph,189400000.0,Wreck-It Ralph,2012
741,Les Miserables (2012),148800000.0,Les Miserables (2012),2012
742,The Intouchables (U.S.-only),10200000.0,The Intouchables (U.S.-only),2012
743,Django Unchained,162800000.0,Django Unchained,2012
744,Prometheus,126500000.0,Prometheus,2012
745,Snow White and the Huntsman,155300000.0,Snow White and the Huntsman,2012
746,Taken 2,139900000.0,Taken 2,2012
747,Hotel Transylvania,148300000.0,Hotel Transylvania,2012
748,Dr. Seuss' The Lorax,214000000.0,Dr. Seuss' The Lorax,2012
749,Titanic 3D,57900000.0,Titanic 3D,2012
750,Journey 2: The Mysterious Island,103900000.0,Journey 2: The Mysterious Island,2012
751,The Expendables 2,85000000.0,The Expendables 2,2012
752,Rise of the Guardians,103400000.0,Rise of the Guardians,2012
753,Wrath of the Titans,83700000.0,Wrath of the Titans,2012
754,Battleship,65400000.0,Battleship,2012
755,John Carter,73100000.0,John Carter,2012
756,The Bourne Legacy,113200000.0,The Bourne Legacy,2012
757,Lincoln,182200000.0,Lincoln,2012
758,Dark Shadows,79700000.0,Dark Shadows,2012
759,Resident Evil: Retribution,42300000.0,Resident Evil: Retribution,2012
760,Silver Linings Playbook,132100000.0,Silver Linings Playbook,2012
761,American Reunion,57000000.0,American Reunion,2012
762,Argo,136000000.0,Argo,2012
763,Jack Reacher,80100000.0,Jack Reacher,2012
764,Safe House,126400000.0,Safe House,2012
765,21 Jump Street,138400000.0,21 Jump Street,2012
766,Total Recall (2012),58900000.0,Total Recall (2012),2012
767,The Vow,125000000.0,The Vow,2012
768,Mirror Mirror,64900000.0,Mirror Mirror,2012
769,The Impossible,19000000.0,The Impossible,2012
770,The Dictator,59700000.0,The Dictator,2012
771,Looper,66500000.0,Looper,2012
772,Magic Mike,113700000.0,Magic Mike,2012
773,Flight,93800000.0,Flight,2012
774,Underworld Awakening,62300000.0,Underworld Awakening,2012
775,This Means War,54800000.0,This Means War,2012
776,The Secret World of Arrietty,19200000.0,The Secret World of Arrietty,2012
777,Paranormal Activity 4,53900000.0,Paranormal Activity 4,2012
778,Step Up Revolution,35100000.0,Step Up Revolution,2012
779,The Best Exotic Marigold Hotel,46400000.0,The Best Exotic Marigold Hotel,2012
780,Zero Dark Thirty,95700000.0,Zero Dark Thirty,2012
781,Ghost Rider: Spirit of Vengeance,51800000.0,Ghost Rider: Spirit of Vengeance,2012
782,Cloud Atlas,27100000.0,Cloud Atlas,2012
783,The Woman in Black,54300000.0,The Woman in Black,2012
784,Chronicle (2012),64599999.0,Chronicle (2012),2012
785,The Pirates! Band of Misfits,31100000.0,The Pirates! Band of Misfits,2012
786,Parental Guidance,77300000.0,Parental Guidance,2012
787,Abraham Lincoln: Vampire Hunter,37500000.0,Abraham Lincoln: Vampire Hunter,2012
788,Pitch Perfect,65000000.0,Pitch Perfect,2012
789,Hope Springs,63500000.0,Hope Springs,2012
790,ParaNorman,56000000.0,ParaNorman,2012
791,The Campaign,86900000.0,The Campaign,2012
792,Let the Bullets Fly,63000.0,Let the Bullets Fly,2012
793,Star Wars: Episode I - The Phantom Menace (in 3D),43500000.0,Star Wars: Episode I - The Phantom Menace (in 3D),2012
794,Project X,54700000.0,Project X,2012
795,The Devil Inside,53300000.0,The Devil Inside,2012
796,The Lucky One,60500000.0,The Lucky One,2012
797,Contraband,66500000.0,Contraband,2012
798,Think Like a Man,91500000.0,Think Like a Man,2012
799,This Is 40,67500000.0,This Is 40,2012
800,The Inbetweeners Movie,36000.0,The Inbetweeners Movie,2012
801,The Possession,49100000.0,The Possession,2012
802,What to Expect When You're Expecting,41200000.0,What to Expect When You're Expecting,2012
803,The Thieves,686000.0,The Thieves,2012
804,Savages (2012),47400000.0,Savages (2012),2012
805,Frankenweenie,35300000.0,Frankenweenie,2012
806,Act of Valor,70000000.0,Act of Valor,2012
807,Masquerade (2012),923000.0,Masquerade (2012),2012
808,Sinister,48100000.0,Sinister,2012
809,The Grey,51600000.0,The Grey,2012
810,Diary of a Wimpy Kid: Dog Days,49000000.0,Diary of a Wimpy Kid: Dog Days,2012
811,To Rome with Love,16700000.0,To Rome with Love,2012
812,Here Comes the Boom,45300000.0,Here Comes the Boom,2012
813,Finding Nemo (3D),41100000.0,Finding Nemo (3D),2012
814,Anna Karenina,12800000.0,Anna Karenina,2012
815,The Watch,35400000.0,The Watch,2012
816,Moonrise Kingdom,45500000.0,Moonrise Kingdom,2012
817,Tyler Perry's Madea's Witness Protection,65700000.0,Tyler Perry's Madea's Witness Protection,2012
