title,month,production_budget,domestic_gross,worldwide_gross,net_prof,net_margin_%
Bernie,4.0,6000000.0,9204489.0,10106975.0,4106975.0,40.64
Best in Show,9.0,6000000.0,18621249.0,20695413.0,14695413.0,71.01
Better Luck Tomorrow,4.0,250000.0,3802390.0,3809226.0,3559226.0,93.44
Beverly Hills Chihuahua,10.0,20000000.0,94514402.0,154218168.0,134218168.0,87.03
Beverly Hills Cop,12.0,15000000.0,234760478.0,316300000.0,301300000.0,95.26
Beverly Hills Cop II,5.0,20000000.0,153665036.0,276665036.0,256665036.0,92.77
Beverly Hills Cop III,5.0,50000000.0,42586861.0,119180938.0,69180938.0,58.05
Bewitched,6.0,80000000.0,63313159.0,131159306.0,51159306.0,39.01
Beyond the Lights,11.0,7000000.0,14618727.0,14618727.0,7618727.0,52.12
Beyond the Mat,10.0,500000.0,2047570.0,2047570.0,1547570.0,75.58
Beyond the Valley of the Dolls,1.0,1000000.0,9000000.0,9000000.0,8000000.0,88.89
Bienvenue chez les Ch'tis,7.0,16000000.0,1477650.0,247474497.0,231474497.0,93.53
Big,6.0,18000000.0,114968774.0,151668774.0,133668774.0,88.13
Big Daddy,6.0,30000000.0,163479795.0,228641283.0,198641283.0,86.88
Big Eyes,12.0,10000000.0,14482031.0,27317872.0,17317872.0,63.39
Big Fat Liar,2.0,15000000.0,47811275.0,52461017.0,37461017.0,71.41
Big Fish,12.0,70000000.0,66432867.0,123954323.0,53954323.0,43.53
Big Hero 6,11.0,165000000.0,222527828.0,652127828.0,487127828.0,74.7
Big Momma's House,6.0,33000000.0,117559438.0,173559438.0,140559438.0,80.99
Big Momma's House 2,1.0,40000000.0,70165972.0,137047376.0,97047376.0,70.81
"Big Mommas: Like Father, Like Son",2.0,32000000.0,37915414.0,82332450.0,50332450.0,61.13
Bill & Ted's Bogus Journey,7.0,20000000.0,37537675.0,37537675.0,17537675.0,46.72
Bill & Ted's Excellent Adventure,2.0,10000000.0,40485039.0,40485039.0,30485039.0,75.3
Billy Elliot,10.0,5000000.0,21995263.0,109253745.0,104253745.0,95.42
Billy Jack,1.0,800000.0,98000000.0,98000000.0,97200000.0,99.18
Birdman or (The Unexpected Virtue of Ignorance),10.0,18000000.0,42340598.0,103215094.0,85215094.0,82.56
BlacKkKlansman,8.0,15000000.0,49275340.0,93017335.0,78017335.0,83.87
Black Christmas,12.0,9000000.0,16235738.0,16235738.0,7235738.0,44.57
Black Hawk Down,12.0,95000000.0,108638745.0,159691085.0,64691085.0,40.51
Black Mass,9.0,53000000.0,62575678.0,98837872.0,45837872.0,46.38
Black Panther,2.0,200000000.0,700059566.0,1348258224.0,1148258224.0,85.17
Black Rain,9.0,30000000.0,45892212.0,45892212.0,15892212.0,34.63
Black Swan,12.0,13000000.0,106954678.0,331266710.0,318266710.0,96.08
Black or White,1.0,9000000.0,21571189.0,21971021.0,12971021.0,59.04
Blade,8.0,45000000.0,70141876.0,131237688.0,86237688.0,65.71
Blade 2,3.0,54000000.0,81676888.0,154338601.0,100338601.0,65.01
Blade Runner,6.0,28000000.0,32656328.0,39342912.0,11342912.0,28.83
Blade Runner 2049,10.0,185000000.0,92054159.0,259357408.0,74357408.0,28.67
Blade: Trinity,12.0,65000000.0,52397389.0,131353165.0,66353165.0,50.52
Blades of Glory,3.0,61000000.0,118594548.0,145594548.0,84594548.0,58.1
Blair Witch,9.0,10000000.0,20777061.0,38985577.0,28985577.0,74.35
Blazing Saddles,2.0,2600000.0,119500000.0,119500000.0,116900000.0,97.82
Blended,5.0,45000000.0,46290741.0,127990741.0,82990741.0,64.84
Bless the Child,8.0,40000000.0,29374178.0,40435694.0,435694.0,1.08
Blockers,4.0,21000000.0,60311495.0,94045328.0,73045328.0,77.67
Blood Diamond,12.0,100000000.0,57377916.0,171377916.0,71377916.0,41.65
Blood Simple,1.0,1500000.0,1690913.0,2730877.0,1230877.0,45.07
Bloodsport,2.0,1500000.0,11806119.0,11806119.0,10306119.0,87.29
Blow,4.0,30000000.0,52990775.0,83282296.0,53282296.0,63.98
Blue Crush,8.0,30000000.0,40118420.0,51618420.0,21618420.0,41.88
Blue Jasmine,7.0,18000000.0,33404871.0,102912961.0,84912961.0,82.51
Blue Ruin,4.0,420000.0,258384.0,437002.0,17002.0,3.89
Blue Streak,9.0,36000000.0,68208190.0,117448157.0,81448157.0,69.35
Blue Valentine,12.0,1000000.0,9737892.0,16566240.0,15566240.0,93.96
Bobby,11.0,14000000.0,11242801.0,20597806.0,6597806.0,32.03
Body of Lies,10.0,67500000.0,39394666.0,118556530.0,51056530.0,43.07
Bohemian Rhapsody,11.0,55000000.0,216303339.0,894985342.0,839985342.0,93.85
Boiler Room,2.0,9000000.0,16963963.0,28773637.0,19773637.0,68.72
Bolt,11.0,150000000.0,114053579.0,328015029.0,178015029.0,54.27
"Bon Cop, Bad Cop",8.0,8000000.0,12671300.0,12740705.0,4740705.0,37.21
Boogeyman,2.0,20000000.0,46752382.0,67192859.0,47192859.0,70.23
Boogie Nights,10.0,15000000.0,26410771.0,43111725.0,28111725.0,65.21
Book Club,5.0,10000000.0,68566296.0,91113683.0,81113683.0,89.02
Book of Shadows: Blair Witch 2,10.0,15000000.0,26421314.0,47721314.0,32721314.0,68.57
Boom Town,8.0,2000000.0,9172000.0,9172000.0,7172000.0,78.19
Boomerang,7.0,42000000.0,70052444.0,131052444.0,89052444.0,67.95
Borat,11.0,18000000.0,128505958.0,261443242.0,243443242.0,93.12
Born on the Fourth of July,12.0,14000000.0,70001698.0,70001698.0,56001698.0,80.0
Bounce,11.0,35000000.0,36805288.0,53425292.0,18425292.0,34.49
Bound,10.0,4500000.0,3802260.0,7011317.0,2511317.0,35.82
Bowfinger,8.0,55000000.0,66458769.0,98699769.0,43699769.0,44.28
Bowling for Columbine,10.0,3000000.0,21576018.0,58240487.0,55240487.0,94.85
Boyhood,7.0,4000000.0,25379975.0,57273049.0,53273049.0,93.02
Boynton Beach Club,3.0,2900000.0,3127472.0,3127472.0,227472.0,7.27
Boys Don't Cry,10.0,2000000.0,11540607.0,20741000.0,18741000.0,90.36
Boys and Girls,6.0,16000000.0,21799652.0,21799652.0,5799652.0,26.6
Boyz n the Hood,7.0,6500000.0,56190094.0,56215095.0,49715095.0,88.44
Bram Stoker's Dracula,11.0,40000000.0,82522790.0,215862692.0,175862692.0,81.47
Bran Nue Dae,9.0,6750000.0,113568.0,6812530.0,62530.0,0.92
Brave,6.0,185000000.0,237282182.0,554606532.0,369606532.0,66.64
Braveheart,5.0,72000000.0,75545647.0,209045244.0,137045244.0,65.56
Breakdown,5.0,36000000.0,50159144.0,50159144.0,14159144.0,28.23
Breakin' All the Rules,5.0,9000000.0,12232382.0,12512317.0,3512317.0,28.07
Breaking In,5.0,6000000.0,46840590.0,51411620.0,45411620.0,88.33
Breaking Upwards,4.0,15000.0,115592.0,115592.0,100592.0,87.02
Breathless,5.0,7000000.0,19910002.0,19910002.0,12910002.0,64.84
Brick,3.0,450000.0,2075743.0,4243996.0,3793996.0,89.4
Brick Lane,6.0,2500000.0,1094998.0,3838486.0,1338486.0,34.87
Brick Mansions,4.0,28000000.0,20396829.0,73421224.0,45421224.0,61.86
Bride & Prejudice,2.0,7000000.0,6601079.0,25269040.0,18269040.0,72.3
Bride Wars,1.0,30000000.0,58715510.0,115150424.0,85150424.0,73.95
Bride of Chucky,10.0,25000000.0,32404188.0,50692188.0,25692188.0,50.68
Bridesmaids,5.0,32500000.0,169211718.0,289632023.0,257132023.0,88.78
Bridge of Spies,10.0,40000000.0,72313754.0,162498338.0,122498338.0,75.38
Bridge to Terabithia,2.0,25000000.0,82234139.0,137984788.0,112984788.0,81.88
Bridget Jones's Diary,4.0,25000000.0,71500556.0,281527158.0,256527158.0,91.12
Bridget Jones: The Edge Of Reason,11.0,50000000.0,40203020.0,263894551.0,213894551.0,81.05
Bridget Jonesâs Baby,9.0,35000000.0,24139805.0,205822688.0,170822688.0,83.0
Bright Star,9.0,8500000.0,4444637.0,17220091.0,8720091.0,50.64
BrightBurn,5.0,7000000.0,16794432.0,27989498.0,20989498.0,74.99
Bring it On,8.0,10000000.0,68353550.0,90453550.0,80453550.0,88.94
Bringing Down the House,3.0,20000000.0,132675402.0,164675402.0,144675402.0,87.85
Brokeback Mountain,12.0,13900000.0,83043761.0,176980863.0,163080863.0,92.15
Broken Arrow,2.0,65000000.0,70645997.0,148345997.0,83345997.0,56.18
Broken Flowers,8.0,10000000.0,13744960.0,40744960.0,30744960.0,75.46
Bronson,10.0,230000.0,104979.0,2703762.0,2473762.0,91.49
Brooklyn,11.0,11000000.0,38322743.0,62076141.0,51076141.0,82.28
Brooklyn's Finest,3.0,17000000.0,27163593.0,39233233.0,22233233.0,56.67
Brothers,12.0,26000000.0,28544157.0,45043870.0,19043870.0,42.28
Brothers,8.0,13000000.0,656688.0,17856688.0,4856688.0,27.2
Brown Sugar,10.0,8000000.0,27362712.0,28315272.0,20315272.0,71.75
Bruce Almighty,5.0,81000000.0,242704995.0,484468608.0,403468608.0,83.28
BrÃ¼no,7.0,42000000.0,60054530.0,138708527.0,96708527.0,69.72
Bubba Ho-Tep,9.0,1000000.0,1239183.0,1492895.0,492895.0,33.02
Buffalo '66,6.0,1500000.0,2380606.0,2380606.0,880606.0,36.99
Buffy the Vampire Slayer,7.0,7000000.0,14231669.0,14231669.0,7231669.0,50.81
Bug,5.0,4000000.0,7006708.0,8302995.0,4302995.0,51.82
Bumblebee,12.0,102000000.0,127195589.0,465195589.0,363195589.0,78.07
Buried,9.0,1987650.0,1044143.0,21270290.0,19282640.0,90.66
Burlesque,11.0,55000000.0,39440655.0,90552675.0,35552675.0,39.26
Burn,7.0,225000.0,1109276.0,1109276.0,884276.0,79.72
Burn After Reading,9.0,37000000.0,60355347.0,168167798.0,131167798.0,78.0
Burnt,10.0,20000000.0,13651946.0,36773510.0,16773510.0,45.61
But I'm a Cheerleader,7.0,1200000.0,2205627.0,2509344.0,1309344.0,52.18
Butch Cassidy and the Sundance Kid,10.0,6000000.0,102308900.0,102310653.0,96310653.0,94.14
C.H.U.D.,8.0,1250000.0,4700000.0,4700000.0,3450000.0,73.4
Cabin Fever,9.0,1500000.0,21158188.0,30351664.0,28851664.0,95.06
CachÃ©,12.0,8000000.0,3647381.0,19891331.0,11891331.0,59.78
Caddyshack,7.0,6000000.0,39846344.0,39846344.0,33846344.0,84.94
Calendar Girls,12.0,10000000.0,31011616.0,93074616.0,83074616.0,89.26
Call+Response,10.0,200000.0,212989.0,212989.0,12989.0,6.1
Can You Ever Forgive Me?,10.0,10000000.0,8803865.0,11752387.0,1752387.0,14.91
Can't Hardly Wait,6.0,10000000.0,25358996.0,25358996.0,15358996.0,60.57
Cape Fear,11.0,35000000.0,79091969.0,182291969.0,147291969.0,80.8
Capote,9.0,7000000.0,28750530.0,49924079.0,42924079.0,85.98
Captain America: Civil War,5.0,250000000.0,408084349.0,1140069413.0,890069413.0,78.07
Captain America: The First Avenger,7.0,140000000.0,176654505.0,370569776.0,230569776.0,62.22
Captain America: The Winter Soldier,4.0,170000000.0,259746958.0,714401889.0,544401889.0,76.2
Captain Corelli's Mandolin,8.0,57000000.0,25528495.0,62097495.0,5097495.0,8.21
Captain Marvel,3.0,175000000.0,426525952.0,1123061550.0,948061550.0,84.42
Captain Phillips,10.0,55000000.0,107136417.0,220648184.0,165648184.0,75.07
Captain Underpants: The First Epic Movie,6.0,38000000.0,73921000.0,126577874.0,88577874.0,69.98
Captive,9.0,2000000.0,2583301.0,2791973.0,791973.0,28.37
Carnage,12.0,25000000.0,2546747.0,38112154.0,13112154.0,34.4
Carol,11.0,11800000.0,12711491.0,42843521.0,31043521.0,72.46
Carrie,10.0,30000000.0,35266619.0,82409520.0,52409520.0,63.6
Carrie,11.0,1800000.0,25878153.0,25878153.0,24078153.0,93.04
Cars,6.0,70000000.0,244082982.0,461651246.0,391651246.0,84.84
Cars 2,6.0,200000000.0,191450875.0,560155383.0,360155383.0,64.3
Cars 3,6.0,175000000.0,152901115.0,383541369.0,208541369.0,54.37
Casa de mi Padre,3.0,6000000.0,5909483.0,8446952.0,2446952.0,28.97
Casablanca,1.0,1039000.0,10462500.0,10496855.0,9457855.0,90.1
Case 39,10.0,27000000.0,13261851.0,28773827.0,1773827.0,6.16
Casino,11.0,52000000.0,42438300.0,110400000.0,58400000.0,52.9
Casino Royale,11.0,102000000.0,167365000.0,594420283.0,492420283.0,82.84
Casino Royale,4.0,12000000.0,22744718.0,41744718.0,29744718.0,71.25
Casper,5.0,55000000.0,100328194.0,282300000.0,227300000.0,80.52
Cast Away,12.0,85000000.0,233632142.0,427230516.0,342230516.0,80.1
Cat People,4.0,12500000.0,7000000.0,21000000.0,8500000.0,40.48
Cat People,11.0,134000.0,4000000.0,8000000.0,7866000.0,98.32
Cat on a Hot Tin Roof,9.0,3000000.0,17570324.0,17570324.0,14570324.0,82.93
Catch Me if You Can,12.0,52000000.0,164606800.0,355612291.0,303612291.0,85.38
Catch-22,6.0,18000000.0,24911670.0,24911670.0,6911670.0,27.74
Cats & Dogs,7.0,60000000.0,93375151.0,200700000.0,140700000.0,70.1
Cats & Dogs: The Revenge of Kitty Galore,7.0,85000000.0,43585753.0,113026383.0,28026383.0,24.8
Cavite,5.0,7000.0,70071.0,71644.0,64644.0,90.23
Celeste and Jesse Forever,8.0,840000.0,3103407.0,3787689.0,2947689.0,77.82
Cellular,9.0,45000000.0,32003620.0,61475984.0,16475984.0,26.8
Center Stage,5.0,18000000.0,17200925.0,21361109.0,3361109.0,15.73
Central Intelligence,6.0,50000000.0,127440871.0,217194805.0,167194805.0,76.98
Central do Brasil,11.0,2900000.0,5969553.0,17006158.0,14106158.0,82.95
Chain Reaction,8.0,55000000.0,21226204.0,60209334.0,5209334.0,8.65
Changeling,10.0,55000000.0,35739802.0,113805580.0,58805580.0,51.67
Changing Lanes,4.0,45000000.0,66790248.0,66790248.0,21790248.0,32.62
Chappie,3.0,49000000.0,31569268.0,105002056.0,56002056.0,53.33
Chariots of Fire,9.0,5500000.0,61558162.0,61865947.0,56365947.0,91.11
Charlie St. Cloud,7.0,44000000.0,31206263.0,48478084.0,4478084.0,9.24
Charlie Wilson's War,12.0,75000000.0,66661095.0,119512771.0,44512771.0,37.25
Charlie and the Chocolate Factory,7.0,150000000.0,206459076.0,475825484.0,325825484.0,68.48
Charlie's Angels,11.0,90000000.0,125305545.0,259736090.0,169736090.0,65.35
Charlie's Angels: Full Throttle,6.0,120000000.0,100814328.0,227200000.0,107200000.0,47.18
Charlotte's Web,12.0,82500000.0,82985708.0,143985708.0,61485708.0,42.7
Chasing Amy,4.0,250000.0,12006514.0,15155095.0,14905095.0,98.35
Chasing Papi,4.0,9000000.0,6126237.0,12657377.0,3657377.0,28.9
Cheaper by the Dozen,12.0,40000000.0,138614544.0,190212113.0,150212113.0,78.97
Cheaper by the Dozen 2,12.0,60000000.0,82571173.0,135015330.0,75015330.0,55.56
Chernobyl Diaries,5.0,1000000.0,18119640.0,42411721.0,41411721.0,97.64
Chicago,12.0,30000000.0,170687518.0,306770545.0,276770545.0,90.22
Chicken Little,11.0,150000000.0,135386665.0,310043823.0,160043823.0,51.62
Chicken Run,6.0,42000000.0,106793915.0,227793915.0,185793915.0,81.56
Child's Play,11.0,9000000.0,33244684.0,44196684.0,35196684.0,79.64
Child's Play 2,11.0,13000000.0,26904572.0,34166572.0,21166572.0,61.95
Chinjeolhan geumjassi,5.0,4500000.0,211667.0,23471871.0,18971871.0,80.83
Chocolat,12.0,25000000.0,71309760.0,152500343.0,127500343.0,83.61
Chocolate: Deep Dark Secrets,9.0,1000000.0,49000.0,1549000.0,549000.0,35.44
Choke,9.0,3400000.0,2926565.0,4124277.0,724277.0,17.56
Christmas with the Kranks,11.0,50000000.0,73701902.0,96469187.0,46469187.0,48.17
Christopher Robin,8.0,75000000.0,99215042.0,197504758.0,122504758.0,62.03
Chronicle,2.0,12000000.0,64575175.0,123681790.0,111681790.0,90.3
Chuck&Buck,7.0,250000.0,1055671.0,1157672.0,907672.0,78.4
ChÄi dÃ n zhuÄnjiÄ,5.0,23000000.0,0.0,58807172.0,35807172.0,60.89
Cidade de Deus,1.0,3300000.0,7563397.0,32059295.0,28759295.0,89.71
Cinderella,3.0,95000000.0,201151353.0,534551353.0,439551353.0,82.23
Cinderella,2.0,2900000.0,85000000.0,263591415.0,260691415.0,98.9
Cinderella Man,6.0,88000000.0,61649911.0,105021488.0,17021488.0,16.21
Circumstance,8.0,900000.0,454121.0,958978.0,58978.0,6.15
Cirque du Soleil: Worlds Away,12.0,25000000.0,12512862.0,28012862.0,3012862.0,10.76
City Island,3.0,6000000.0,6671283.0,8173486.0,2173486.0,26.59
City of Angels,4.0,55000000.0,78750909.0,198750909.0,143750909.0,72.33
Clash of the Titans,4.0,125000000.0,163214888.0,493214888.0,368214888.0,74.66
Clash of the Titans,6.0,15000000.0,30000000.0,44400000.0,29400000.0,66.22
Class of 1984,8.0,3250000.0,6965361.0,6965361.0,3715361.0,53.34
Clean,4.0,10000.0,138711.0,138711.0,128711.0,92.79
Clear and Present Danger,8.0,62000000.0,122012656.0,207500000.0,145500000.0,70.12
Cleopatra,6.0,42000000.0,57000000.0,71000000.0,29000000.0,40.85
Clerks,10.0,27000.0,3073428.0,3894240.0,3867240.0,99.31
Clerks II,7.0,5000000.0,24148068.0,27342246.0,22342246.0,81.71
Click,6.0,82500000.0,137355633.0,237685089.0,155185089.0,65.29
Cliffhanger,5.0,65000000.0,84049211.0,255000000.0,190000000.0,74.51
Clockstoppers,3.0,26000000.0,36985501.0,38788828.0,12788828.0,32.97
Close Encounters of the Third Kind,11.0,20000000.0,169100479.0,340800479.0,320800479.0,94.13
Closer,12.0,35000000.0,33987757.0,116177695.0,81177695.0,69.87
Cloud Atlas,10.0,102000000.0,27108272.0,130673154.0,28673154.0,21.94
Cloudy with a Chance of Meatballs,9.0,100000000.0,124870275.0,236827677.0,136827677.0,57.78
Cloudy with a Chance of Meatballs 2,9.0,78000000.0,119793567.0,274392649.0,196392649.0,71.57
Cloverfield,1.0,25000000.0,80048433.0,171302226.0,146302226.0,85.41
Clueless,7.0,13700000.0,56598476.0,56598476.0,42898476.0,75.79
Coach Carter,1.0,45000000.0,67264877.0,76665507.0,31665507.0,41.3
Coal Miner's Daughter,3.0,15000000.0,67182787.0,67182787.0,52182787.0,77.67
Cobra,5.0,25000000.0,49042224.0,49042224.0,24042224.0,49.02
Coco,11.0,175000000.0,209726015.0,798008101.0,623008101.0,78.07
Coco avant Chanel,9.0,23000000.0,6113834.0,50813834.0,27813834.0,54.74
Cold Mountain,12.0,80000000.0,95632614.0,165173909.0,85173909.0,51.57
Cold Pursuit,2.0,60000000.0,32138862.0,62599159.0,2599159.0,4.15
Collateral,8.0,60000000.0,100170152.0,217670152.0,157670152.0,72.44
Collateral Beauty,12.0,36000000.0,31016021.0,85309093.0,49309093.0,57.8
College,8.0,6000000.0,4694491.0,6176114.0,176114.0,2.85
Colombiana,8.0,40000000.0,36665854.0,72295262.0,32295262.0,44.67
Columbus,8.0,700000.0,1017107.0,1110511.0,410511.0,36.97
Coming Home,1.0,3000000.0,32653000.0,32653000.0,29653000.0,90.81
Commando,10.0,10000000.0,35073978.0,35073978.0,25073978.0,71.49
Compadres,4.0,3000000.0,3127773.0,7445044.0,4445044.0,59.7
Compliance,8.0,270000.0,319285.0,830700.0,560700.0,67.5
Con Air,6.0,80000000.0,101117573.0,224117573.0,144117573.0,64.3
Conan the Barbarian,5.0,20000000.0,38264085.0,79114085.0,59114085.0,74.72
Conan the Destroyer,6.0,18000000.0,26400000.0,26400000.0,8400000.0,31.82
Concussion,12.0,35000000.0,34531832.0,50363790.0,15363790.0,30.51
Confessions of a Dangerous Mind,12.0,29000000.0,16007718.0,33013805.0,4013805.0,12.16
Confessions of a Teenage Drama Queen,2.0,15000000.0,29331068.0,33118854.0,18118854.0,54.71
Congo,6.0,50000000.0,81022333.0,152022333.0,102022333.0,67.11
Conquest of the Planet of the Apes,6.0,1700000.0,9700000.0,9700000.0,8000000.0,82.47
Conspiracy Theory,8.0,80000000.0,76118990.0,142783718.0,62783718.0,43.97
Constantine,2.0,75000000.0,75976178.0,221594911.0,146594911.0,66.15
Contact,7.0,90000000.0,100920329.0,165900000.0,75900000.0,45.75
Contagion,9.0,60000000.0,75658097.0,137551594.0,77551594.0,56.38
Contraband,1.0,25000000.0,66528000.0,98406855.0,73406855.0,74.6
Control,10.0,6400000.0,871577.0,8902141.0,2502141.0,28.11
Conversations with Other Women,8.0,450000.0,379418.0,1297745.0,847745.0,65.32
Cool Runnings,10.0,14000000.0,68856263.0,155056263.0,141056263.0,90.97
Cop Land,8.0,15000000.0,44906632.0,63706632.0,48706632.0,76.45
Cop Out,2.0,37000000.0,44875481.0,55909910.0,18909910.0,33.82
Copycat,10.0,20000000.0,32051917.0,32051917.0,12051917.0,37.6
Coraline,2.0,60000000.0,75286229.0,126037057.0,66037057.0,52.39
Corky Romano,10.0,11000000.0,23978402.0,25116103.0,14116103.0,56.2
Corpse Bride,9.0,30000000.0,53359111.0,114770654.0,84770654.0,73.86
Country Strong,12.0,15000000.0,20218921.0,20601987.0,5601987.0,27.19
Couples Retreat,10.0,60000000.0,109205660.0,172450423.0,112450423.0,65.21
Courage Under Fire,7.0,46000000.0,59003384.0,100833145.0,54833145.0,54.38
Courageous,9.0,2000000.0,34522221.0,35185884.0,33185884.0,94.32
Cowboys and Aliens,7.0,163000000.0,100368560.0,176038324.0,13038324.0,7.41
Coyote Ugly,8.0,45000000.0,60786269.0,113916474.0,68916474.0,60.5
Cradle 2 the Grave,2.0,25000000.0,34657731.0,56434942.0,31434942.0,55.7
Crank,9.0,12000000.0,27838408.0,43924923.0,31924923.0,72.68
Crank 2: High Voltage,4.0,20000000.0,13684249.0,35472739.0,15472739.0,43.62
Crash,5.0,7303082.0,55334418.0,101173038.0,93869956.0,92.78
Crazy Heart,12.0,8500000.0,39471742.0,47417251.0,38917251.0,82.07
Crazy Rich Asians,8.0,30000000.0,174532921.0,238099711.0,208099711.0,87.4
"Crazy, Stupid, Love",7.0,50000000.0,84351197.0,147142328.0,97142328.0,66.02
Creed,11.0,37000000.0,109767581.0,173567581.0,136567581.0,78.68
Creed II,11.0,50000000.0,115715889.0,213591522.0,163591522.0,76.59
Creepshow,11.0,8000000.0,20036244.0,20036244.0,12036244.0,60.07
Creepshow 2,5.0,3500000.0,14000000.0,14000000.0,10500000.0,75.0
Criminal,4.0,31500000.0,14708696.0,38771262.0,7271262.0,18.75
Crimson Peak,10.0,55000000.0,31090320.0,74966854.0,19966854.0,26.63
Crimson Tide,5.0,55000000.0,91387195.0,159387195.0,104387195.0,65.49
Crocodile Dundee,9.0,8800000.0,174803506.0,328203506.0,319403506.0,97.32
Crocodile Dundee 2,5.0,14000000.0,109306210.0,239606210.0,225606210.0,94.16
Crocodile Dundee in Los Angeles,4.0,25000000.0,25590119.0,39393111.0,14393111.0,36.54
Crossover,9.0,5600000.0,7009668.0,7009668.0,1409668.0,20.11
Crossroads,2.0,12000000.0,37188667.0,57000000.0,45000000.0,78.95
"Crouching Tiger, Hidden Dragon",12.0,15000000.0,128067808.0,213514672.0,198514672.0,92.97
Cruel Intentions,3.0,11000000.0,38665260.0,76238901.0,65238901.0,85.57
Cry Wolf,9.0,1000000.0,10047674.0,15943081.0,14943081.0,93.73
