title,month,production_budget,domestic_gross,worldwide_gross,net_prof,net_margin_%
Pirates of the Caribbean: At Worldâs End,5.0,300000000.0,309420425.0,963420425.0,663420425.0,68.86
Pirates of the Caribbean: Dead Manâs Chest,7.0,225000000.0,423315812.0,1066215812.0,841215812.0,78.9
Pirates of the Caribbean: Dead Men Tell No Tales,5.0,230000000.0,172558876.0,788241137.0,558241137.0,70.82
Pirates of the Caribbean: On Stranger Tides,5.0,410600000.0,241063875.0,1045663875.0,635063875.0,60.73
Pirates of the Caribbean: The Curse of the Black Pearl,7.0,140000000.0,305411224.0,634954103.0,494954103.0,77.95
Pitch Black,2.0,23000000.0,39235088.0,53182088.0,30182088.0,56.75
Pitch Perfect,9.0,17000000.0,65001093.0,116044347.0,99044347.0,85.35
Pitch Perfect 2,5.0,29000000.0,184296230.0,287625468.0,258625468.0,89.92
Pitch Perfect 3,12.0,45000000.0,104897530.0,185736412.0,140736412.0,75.77
Pixels,7.0,90000000.0,78765986.0,244041804.0,154041804.0,63.12
Planes: Fire and Rescue,7.0,50000000.0,59157732.0,156399644.0,106399644.0,68.03
Planet 51,11.0,60000000.0,42194060.0,108996113.0,48996113.0,44.95
Planet of the Apes,7.0,100000000.0,180011740.0,362211740.0,262211740.0,72.39
Planet of the Apes,2.0,5800000.0,33395426.0,33395426.0,27595426.0,82.63
Platoon,12.0,6000000.0,137963328.0,137978395.0,131978395.0,95.65
Please Give,4.0,3000000.0,4033574.0,4570178.0,1570178.0,34.36
Pocahontas,6.0,55000000.0,141579773.0,347100000.0,292100000.0,84.15
Pocketful of Miracles,12.0,2900000.0,5000000.0,5000000.0,2100000.0,42.0
Poetic Justice,7.0,14000000.0,27450453.0,27450453.0,13450453.0,49.0
Point Break,12.0,100000000.0,28782481.0,126704591.0,26704591.0,21.08
Point Break,7.0,24000000.0,43218387.0,83531958.0,59531958.0,71.27
Pokemon 2000,7.0,30000000.0,43746923.0,133946923.0,103946923.0,77.6
Pokemon 3: The Movie,4.0,3000000.0,17052128.0,68452128.0,65452128.0,95.62
Pokemon: The First Movie,11.0,30000000.0,85744662.0,163644662.0,133644662.0,81.67
PokÃ©mon: Detective Pikachu,5.0,150000000.0,139507806.0,411258433.0,261258433.0,63.53
Police Academy,3.0,4500000.0,81198894.0,81198894.0,76698894.0,94.46
Polisse,5.0,8900000.0,176988.0,22744132.0,13844132.0,60.87
Pollock,12.0,6000000.0,8596914.0,10557291.0,4557291.0,43.17
Poltergeist,5.0,35000000.0,47425125.0,95713069.0,60713069.0,63.43
Poltergeist,6.0,10700000.0,74706019.0,121706019.0,111006019.0,91.21
Poltergeist III,6.0,9500000.0,14114000.0,14114000.0,4614000.0,32.69
Pompeii,2.0,80000000.0,23169033.0,108469033.0,28469033.0,26.25
Pooh's Heffalump Movie,2.0,20000000.0,18098433.0,55686944.0,35686944.0,64.08
Popeye,12.0,20000000.0,49823037.0,49823037.0,29823037.0,59.86
Porky's,3.0,4000000.0,109492484.0,109492484.0,105492484.0,96.35
Poseidon,5.0,160000000.0,60674817.0,181674817.0,21674817.0,11.93
Posledniy bogatyr,12.0,8500000.0,0.0,30700192.0,22200192.0,72.31
Power Rangers,3.0,120000000.0,85364450.0,142531552.0,22531552.0,15.81
Practical Magic,10.0,60000000.0,46850558.0,68336997.0,8336997.0,12.2
Precious (Based on the Novel Push by Sapphire),11.0,10000000.0,47566524.0,68722848.0,58722848.0,85.45
Predator,6.0,18000000.0,59735548.0,98267558.0,80267558.0,81.68
Predator 2,11.0,35000000.0,28317513.0,54768418.0,19768418.0,36.09
Predators,7.0,40000000.0,52000688.0,127234389.0,87234389.0,68.56
Premonition,3.0,20000000.0,47852604.0,81461343.0,61461343.0,75.45
Pretty Woman,3.0,14000000.0,178406268.0,432645872.0,418645872.0,96.76
Pride & Prejudice,11.0,28000000.0,38372662.0,126549607.0,98549607.0,77.87
Pride and Glory,10.0,30000000.0,15740721.0,43440721.0,13440721.0,30.94
Priest,5.0,60000000.0,29136626.0,84154026.0,24154026.0,28.7
Primer,10.0,7000.0,424760.0,841926.0,834926.0,99.17
Prince of Persia: Sands of Time,5.0,200000000.0,90759676.0,336359676.0,136359676.0,40.54
Prisoners,9.0,46000000.0,61002302.0,113402302.0,67402302.0,59.44
Private Benjamin,10.0,15000000.0,69847348.0,69847348.0,54847348.0,78.52
Project Almanac,1.0,12000000.0,22348241.0,32909437.0,20909437.0,63.54
Project X,3.0,12000000.0,54731865.0,103028188.0,91028188.0,88.35
Prom,4.0,8000000.0,10130219.0,10763183.0,2763183.0,25.67
Prom Night,4.0,18000000.0,43869350.0,57193655.0,39193655.0,68.53
Prometheus,6.0,125000000.0,126477084.0,402448265.0,277448265.0,68.94
Prophecy,6.0,12000000.0,22673340.0,22673340.0,10673340.0,47.07
Psycho,12.0,20000000.0,21541218.0,37226218.0,17226218.0,46.27
Public Enemies,7.0,102500000.0,97104620.0,212282709.0,109782709.0,51.72
Pulp Fiction,10.0,8000000.0,107928762.0,212928762.0,204928762.0,96.24
Pulse,8.0,20500000.0,20264436.0,30241435.0,9741435.0,32.21
Push,2.0,38000000.0,31811527.0,49678401.0,11678401.0,23.51
Puss in Boots,10.0,130000000.0,149260504.0,554987477.0,424987477.0,76.58
Quantum of Solace,11.0,230000000.0,169368427.0,591692078.0,361692078.0,61.13
Quarantine,10.0,12000000.0,31691811.0,41924774.0,29924774.0,71.38
Quartet,1.0,11000000.0,18388357.0,56178935.0,45178935.0,80.42
Que Horas Ela Volta?,8.0,1200000.0,376976.0,3249041.0,2049041.0,63.07
Quigley Down Under,10.0,20000000.0,21413105.0,21413105.0,1413105.0,6.6
